breed,values
Domestic Shorthair Mix,23335
Pit Bull Mix,6135
Chihuahua Shorthair Mix,4733
Labrador Retriever Mix,4608
Domestic Medium Hair Mix,2323
German Shepherd Mix,1892
Bat Mix,1286
Domestic Longhair Mix,1228
Australian Cattle Dog Mix,1059
Siamese Mix,998
Bat,799
Dachshund Mix,798
Boxer Mix,674
Miniature Poodle Mix,648
Border Collie Mix,646
Catahoula Mix,476
Raccoon Mix,465
Rat Terrier Mix,456
Australian Shepherd Mix,454
Yorkshire Terrier Mix,437
Siberian Husky Mix,418
Jack Russell Terrier Mix,416
Miniature Schnauzer Mix,392
Domestic Shorthair,386
Beagle Mix,384
Chihuahua Longhair Mix,359
Staffordshire Mix,350
Great Pyrenees Mix,330
Cairn Terrier Mix,330
Pointer Mix,325
Rottweiler Mix,321
American Bulldog Mix,314
Rabbit Sh Mix,291
Shih Tzu Mix,282
Anatol Shepherd Mix,252
Chihuahua Shorthair/Dachshund,247
Plott Hound Mix,246
Black Mouth Cur Mix,241
Australian Kelpie Mix,240
Pit Bull,234
Raccoon,230
Labrador Retriever,230
American Staffordshire Terrier Mix,224
German Shepherd,217
American Shorthair Mix,211
Labrador Retriever/Pit Bull,209
Chihuahua Shorthair,200
Dachshund/Chihuahua Shorthair,178
Opossum Mix,176
American Pit Bull Terrier Mix,164
German Shepherd/Labrador Retriever,161
Miniature Pinscher Mix,155
Maltese Mix,155
Golden Retriever Mix,153
Snowshoe Mix,148
Queensland Heeler Mix,148
Chow Chow Mix,144
Labrador Retriever/German Shepherd,136
Domestic Medium Hair,131
Basset Hound Mix,128
Pug Mix,122
Pomeranian Mix,119
Border Terrier Mix,118
Doberman Pinsch Mix,118
Siberian Husky,114
Chicken Mix,113
Shih Tzu,112
Blue Lacy Mix,111
Cardigan Welsh Corgi Mix,107
Maine Coon Mix,106
Lhasa Apso Mix,105
Toy Poodle Mix,104
Cocker Spaniel Mix,103
Rottweiler,103
Guinea Pig Mix,103
Pit Bull/Labrador Retriever,102
Opossum,102
Dachshund,101
Manchester Terrier Mix,99
Boston Terrier Mix,97
Dachshund Longhair Mix,90
Mastiff Mix,89
Chinese Sharpei Mix,87
Dachshund Wirehair Mix,87
Australian Cattle Dog,86
Boxer,86
Bull Terrier Mix,84
Collie Smooth Mix,83
Great Dane Mix,83
Rhod Ridgeback Mix,80
Manx Mix,79
Skunk Mix,79
Beagle,76
